6, 4, 60
15, 15, 120
24, 18, 120
33, 12, 60
48, 12, 180
57, 14, 120
67, 10, 180
77, 10, 120
86, 15, 180
6, 21, 120
17, 26, 120
23, 25, 120
32, 35, 60
43, 23, 180
55, 35, 120
65, 36, 60
78, 39, 60
87, 35, 180
3, 53, 60
12, 44, 60
28, 53, 120
33, 49, 120
47, 46, 60
55, 52, 120
64, 50, 60
71, 57, 120
87, 57, 60
4, 72, 120
15, 78, 60
22, 70, 180
34, 71, 60
42, 79, 60
54, 77, 180
66, 79, 180
78, 67, 60
87, 73, 60
7, 81, 60
17, 95, 120
26, 98, 60
32, 97, 120
43, 88, 180
57, 89, 120
64, 85, 60
78, 83, 60
83, 98, 60
5, 109, 60
13, 111, 120
25, 102, 180
38, 119, 60
46, 107, 120
58, 110, 120
67, 110, 60
74, 113, 120
88, 110, 60
2, 124, 180
17, 134, 60
23, 129, 60
36, 131, 180
42, 137, 180
53, 123, 60
63, 135, 180
72, 134, 60
87, 129, 60
2, 146, 180
16, 147, 180
25, 153, 180
38, 155, 120
42, 158, 120
57, 154, 120
66, 151, 120
73, 151, 120
86, 149, 60
5, 177, 60
13, 162, 180
25, 169, 180
35, 177, 120
46, 172, 120
54, 166, 180
65, 174, 120
73, 161, 60
86, 162, 180
2, 195, 120
14, 196, 120
28, 189, 180
38, 187, 120
46, 195, 180
57, 194, 180
63, 188, 180
77, 193, 60
85, 194, 60
8, 211, 60
12, 217, 60
22, 210, 180
34, 216, 180
47, 203, 60
58, 213, 60
66, 206, 120
78, 210, 60
85, 204, 60
