22, 22, 120
36, 26, 120
21, 45, 60
45, 35, 180
55, 20, 60
33, 34, 120
50, 50, 60
55, 45, 180
26, 59, 120
40, 66, 60
55, 65, 180
35, 51, 120
62, 35, 180
62, 57, 60
62, 24, 120
21, 36, 120
33, 44, 120
9, 56, 60
62, 48, 120
66, 14, 120
44, 13, 180
26, 13, 180
11, 28, 180
7, 43, 60
17, 64, 180
41, 46, 60
55, 34, 60
35, 16, 180
52, 26, 120
43, 26, 120
31, 76, 60
22, 53, 120
26, 29, 60
50, 40, 60
55, 50, 180
54, 10, 180
60, 15, 60
47, 66, 120
30, 60, 120
30, 50, 180
12, 17, 120
15, 14, 180
16, 19, 60
21, 48, 180
50, 30, 60
51, 42, 180
50, 15, 120
48, 21, 180
12, 38, 180
15, 56, 120
29, 39, 120
54, 38, 180
55, 57, 180
67, 41, 120
10, 70, 180
6, 25, 180
65, 27, 180
40, 60, 120
70, 64, 180
64, 4, 180
36, 6, 120
30, 20, 180
20, 30, 180
15, 5, 60
50, 70, 120
57, 72, 60
45, 42, 60
38, 33, 60
50, 4, 180
66, 8, 180
59, 5, 120
35, 60, 60
27, 24, 180
40, 20, 180
40, 37, 60
40, 40, 120
