565.0, 575.0, 60
25.0, 185.0, 60
345.0, 750.0, 60
945.0, 685.0, 60
845.0, 655.0, 60
880.0, 660.0, 60
25.0, 230.0, 60
525.0, 1000.0, 60
580.0, 1175.0, 60
650.0, 1130.0, 60
1605.0, 620.0, 60
1220.0, 580.0, 60
1465.0, 200.0, 60
1530.0, 5.0, 60
845.0, 680.0, 60
725.0, 370.0, 60
145.0, 665.0, 60
415.0, 635.0, 60
510.0, 875.0, 60
560.0, 365.0, 60
300.0, 465.0, 60
520.0, 585.0, 60
480.0, 415.0, 60
835.0, 625.0, 60
975.0, 580.0, 60
1215.0, 245.0, 60
1320.0, 315.0, 60
1250.0, 400.0, 60
660.0, 180.0, 60
410.0, 250.0, 60
420.0, 555.0, 60
575.0, 665.0, 60
1150.0, 1160.0, 60
700.0, 580.0, 60
685.0, 595.0, 60
685.0, 610.0, 60
770.0, 610.0, 60
795.0, 645.0, 60
720.0, 635.0, 60
760.0, 650.0, 60
475.0, 960.0, 60
95.0, 260.0, 60
875.0, 920.0, 60
700.0, 500.0, 60
555.0, 815.0, 60
830.0, 485.0, 60
1170.0, 65.0, 60
830.0, 610.0, 60
605.0, 625.0, 60
595.0, 360.0, 60
1340.0, 725.0, 60
1740.0, 245.0, 60
